ID,Hakfa_FHL_Unicode,PFS_Unicode,PFS_Numeric,Hakfa_IPA,Taigi_FHL_Unicode,POJ_Unicode,Hanzi,Hakfa_HanLo,Taigi_HanLo,Hua-gi
15018,van-yit,van-yit,van4-yit6,[ʋan˥˥] [it̚˨],bānit,bā-nit,vanyit,萬一,萬一,萬一
15019,vàng-chhòi,vàng-chhòi,vang2-chhoi2,[ʋaŋ˩˩] [tsʰoi˩˩],hoâiⁿ châi,hoâiⁿ châi,vàngchhòi,橫財,橫財,橫財
15020,vang-hâ-lòi,vang-hâ-lòi,vang4-ha1-loi2,[ʋaŋ˥˥] [ha˨˦] [loi˩˩],tó lo̍h lâi,tó lo̍h lâi,vang hâlòi,橫下來,倒落來,倒下來
15021,vàng-hàng,vàng-hàng,vang2-hang2,[ʋaŋ˩˩] [haŋ˩˩],hoâiⁿhêng,hoâiⁿ-hêng,vànghàng,橫行,橫行,橫行
15022,vàng-ko,vàng-ko,vang2-ko4,[ʋaŋ˩˩] [ko˥˥],hoâiⁿ kòe,hoâiⁿ kòe,vàng ko,橫過,橫過,橫過
15023,vàng-tá-chhṳ̍t-ko,vàng-tá-chhṳ̍t-ko,vang2-ta3-chhiit5-ko4,[ʋaŋ˩˩] [ta˧˩] [tsʰɨt̚˥] [ko˥˥],hoâiⁿchhâ ji̍pchàu,hoâiⁿ-chhâ ji̍p-chàu,vàngtá chhṳ̍tko,橫打直過,橫柴入灶,強逼、不講理。
15024,vang-kon,vang-kon,vang4-kon4,[ʋaŋ˥˥] [kon˥˥],hoâiⁿkoàn,hoâiⁿ-koàn,vangkon,橫貫,橫貫,橫貫
15025,vàng-kon-kûng-lu,vàng-kon-kûng-lu,vang2-kon4-kung1-lu4,[ʋaŋ˩˩] [kon˥˥] [kuŋ˨˦] [lu˥˥],hoâiⁿkoàn konglō͘,hoâiⁿ-koàn kong-lō͘,vàngkon kûnglu,橫貫公路,橫貫公路,橫貫公路
15026,vàng-kông,vàng-kông,vang2-kong1,[ʋaŋ˩˩] [koŋ˨˦],hoâiⁿkong,hoâiⁿ-kong,vàngkông,橫綱,橫綱,相撲最高級
15027,vàng-liòng,vàng-liòng,vang2-liong2,[ʋaŋ˩˩] [lioŋ˩˩],hoâiⁿniû,hoâiⁿ-niû,vàngliòng,橫樑,橫樑,橫樑
15028,vang-lo̍k,vang-lo̍k,vang4-lok5,[ʋaŋ˥˥] [lok̚˥],poa̍h lo̍h,poa̍h lo̍h,vanglo̍k,橫落,poa̍h落,跌落
15029,vang-lo̍k-hi,vang-lo̍k-hi,vang4-lok5-hi4,[ʋaŋ˥˥] [lok̚˥] [hi˥˥],poa̍h lo̍h khì,poa̍h lo̍h khì,vang lo̍khi,橫落去,poa̍h落去,跌下去
15030,vang-lu,vang-lu,vang4-lu4,[ʋaŋ˥˥] [lu˥˥],hoâiⁿlō͘,hoâiⁿ-lō͘,vanglu,橫路,橫路,橫路
15031,vàng-thu,vàng-thu,vang2-thu4,[ʋaŋ˩˩] [tʰu˥˥],hoâiⁿtō͘,hoâiⁿ-tō͘,vàng thu,橫渡,橫渡,貫通兩邊
