ID,Hakfa_FHL_Unicode,PFS_Unicode,PFS_Numeric,Hakfa_IPA,Taigi_FHL_Unicode,POJ_Unicode,Hanzi,Hakfa_HanLo,Taigi_HanLo,Hua-gi
1686,chhṳn-thèu,chhṳn-thèu,chhiin4-theu2,[tsʰɨn˥˥] [tʰeu˩˩],tīnthâu,tīn-thâu,chhṳnthèu,陣頭,陣頭,陣頭
1687,chhṳn-thi,chhṳn-thi,chhiin4-thi4,[tsʰɨn˥˥] [tʰi˥˥],tīntē,tīn-tē,chhṳnthi,陣地,陣地,配備軍隊的地區
1688,chhûn-thiên,chhûn-thiên,chhun1-thien1,[tsʰun˨˦] [tʰien˨˦],chhunthiⁿ,chhun-thiⁿ,chhûnthiên,春天,春天,春天
1689,chhṳn-thò,chhṳn-thò,chhiin4-tho2,[tsʰɨn˥˥] [tʰo˩˩],chhìntô,chhìn-tô,chhṳnthò,秤砣,秤鉈,秤砣
1690,chhṳn-thung,chhṳn-thung,chhiin4-thung4,[tsʰɨn˥˥] [tʰuŋ˥˥],chūnthiàⁿ,chūn-thiàⁿ,chhṳnthung,陣痛,陣痛,陣痛
1691,chhùn-khoán,chhùn-khoán,chhun2-khoan3,[tsʰun˩˩] [kʰoan˧˩],chûnkhoán,chûn-khoán,chhùn-khoán,存款,存款,存款
1692,chhùn-khoán-phû,chhùn-khoán-phû,chhun2-khoan3-phu1,[tsʰun˩˩] [kʰoan˧˩] [pʰu˨˦],chûnkhoán phō͘'á,chûn-khoán phō͘-á,chhùnkhoán phû,存款簿,存款簿á,存款簿
1693,chhûn-to,chhûn-to,chhun1-to4,[tsʰun˨˦] [to˥˥],chhun kah,chhun kah,chhûn to,伸到,伸到,伸到
1694,chhûn-tó,chhûn-tó,chhun1-to3,[tsʰun˨˦] [to˧˩],chhun ê,chhun ê,chhûntó,伸著,chhun ê,剩下的
1695,chhûn-yêu-kut,chhûn-yêu-kut,chhun1-yeu1-kut6,[tsʰun˨˦] [ieu˨˦] [kut̚˨],chhun iokut,chhun io-kut,chhûnyêukut,伸腰骨,伸腰骨,伸懶腰
1696,chhûn-yí,chhûn-yí,chhun1-yi3,[tsʰun˨˦] [i˧˩],chhunú,chhu-nú,chhûnyí,春雨,春雨,春雨
1697,chhṳn-yí,chhṳn-yí,chhiin4-yi3,[tsʰɨn˥˥] [i˧˩],chūnhō͘,chūn-hō͘,chhṳnyí,陣雨,陣雨,陣雨
1698,chhûn-mò-tô,chhûn-mò-tô,chhun1-mo2-to1,[tsʰun˨˦] [mo˩˩] [to˨˦],chhun bô chē,chhun bô chē,chhûn mò tô,伸無多,chhun無chē,剩不多
1699,chhṳn-yùng,chhṳn-yùng,chhiin4-yung2,[tsʰɨn˥˥] [iuŋ˩˩],tīniông,tīn-iông,chhṳnyùng,陣容,陣容,陣容
1700,chhùng-chéu,chhùng-chéu,chhung2-cheu3,[tsʰuŋ˩˩] [tseu˧˩],chhiong cháu,chhiong cháu,chhùng chéu,沖走,沖走,沖走
1701,chhûng-chhong,chhûng-chhong,chhung1-chhong4,[tsʰuŋ˨˦] [tsʰoŋ˥˥],sio lòng,sio lòng,chhûngchhong,衝撞,相lòng,衝撞
1702,chhûng-chhui,chhûng-chhui,chhung1-chhui4,[tsʰuŋ˨˦] [tsʰui˥˥],tāngchōe,tāng-chōe,chhûngchhui,重罪,重罪,重罪
1703,chhûng-thut,chhûng-thut,chhung1-thut6,[tsʰuŋ˨˦] [tʰut̚˨],chhiongthu̍t,chhiong-thu̍t,chhûngthut,衝突,衝突,衝突
1704,chhùng-sîn,chhùng-sîn,chhung2-sin1,[tsʰuŋ˩˩] [ɕin˨˦],tiôngsin,tiông-sin,chhûngsîn,重新,重新,重新
1705,chhûng-chhut,chhûng-chhut,chhung1-chhut6,[tsʰuŋ˨˦] [tsʰut̚˨],chhiong chhut,chhiong chhut,chhûng chhut,衝出,衝出,衝出
1706,chhûng-hí,chhûng-hí,chhung1-hi3,[tsʰuŋ˨˦] [hi˧˩],chhiong hí,chhiong hí,chhûng hí,沖喜,沖喜,沖喜
1707,chhûng-chiuk,chhûng-chiuk,chhung1-chiuk6,[tsʰuŋ˨˦] [tɕiuk̚˨],chhiongchiok,chhiong-chiok,chhûngchiuk,充足,充足,充足
1708,chhûng-tèm-tèm,chhûng-tèm-tèm,chhung1-tem2-tem2,[tsʰuŋ˨˦] [tem˩˩] [tem˩˩],tîmtāng,tîm-tāng,chhûngtèmtèm,重鈂鈂,沉重,沉重
1709,chhùng-é,chhùng-é,chhung2-e3,[tsʰuŋ˩˩] [e˧˩],thâng'á,thâng-á,chhùng'é,蟲é,蟲é,蟲子
1710,chhûng-é,chhûng-é,chhung1-e3,[tsʰuŋ˨˦] [e˧˩],thang'á,thang-á,chhûng'é,窗é,窗é,窗戶
1711,chhûng-é,chhûng-é,chhung1-e3,[tsʰuŋ˨˦] [e˧˩],chhang'á,chhang-á,chhûng'é,蔥é,蔥á,蔥
1712,chhûng-fái,chhûng-fái,chhung1-fai3,[tsʰuŋ˨˦] [fai˧˩],chhiong hoāi,chhiong hoāi,chhûng fái,沖壞,沖壞,沖壞
1713,chhûng-fa̍t,chhûng-fa̍t,chhung1-fat5,[tsʰuŋ˨˦] [fat̚˥],tāng hoa̍t,tāng hoa̍t,chhûng fa̍t,重罰,重罰,重罰
1714,chhùng-fu̍k,chhùng-fu̍k,chhung2-fuk5,[tsʰuŋ˩˩] [fuk̚˥],tiôngho̍k,tiông-ho̍k,chhùngfu̍k,重複,重複,重複
1715,chhûng-fun,chhûng-fun,chhung1-fun4,[tsʰuŋ˨˦] [fun˥˥],chhionghun,chhiong-hun,chhûngfun,充分,充分,充分
1716,chhùng-hí,chhùng-hí,chhung2-hi3,[tsʰuŋ˩˩] [hi˧˩],têngkhí,têng-khí,chhùnghí,重起,重起,重建
1717,chhûng-hìn,chhûng-hìn,chhung1-hin2,[tsʰuŋ˨˦] [hin˩˩],tāng hêng,tāng hêng,chhûnghìn,重刑,重刑,重刑
1718,chhùng-fuk,chhùng-fuk,chhung2-fuk6,[tsʰuŋ˩˩] [fuk̚˨],tiôngho̍k,tiông-ho̍k,chhùngfuk,重複,重複,重複
1719,chhûng-kak-é,chhûng-kak-é,chhung1-kak6-e3,[tsʰuŋ˨˦] [kak̚˨] [e˧˩],thang keh'á,thang keh-á,chhûng kak'é,窗格é,窗格é,窗格子
1720,chhùng-kâng,chhùng-kâng,chhung2-kang1,[tsʰuŋ˩˩] [kaŋ˨˦],tiôngkeng,tiông-keng,chhùngkâng,重耕,重耕,重耕
1721,chhûng-khiâng,chhûng-khiâng,chhung1-khiang1,[tsʰuŋ˨˦] [kʰiaŋ˨˦],tāngkhin,tāng-khin,chhûngkhiâng,重輕,重輕,重輕
1722,chhung-kiai,chhung-kiai,chhung4-kiai4,[tsʰuŋ˥˥] [kiai˥˥],tionglâng,tiong-lâng,chhungkiai,仲介,仲人,仲介
1723,chhùng-kien,chhùng-kien,chhung2-kien4,[tsʰuŋ˩˩] [kien˥˥],tiôngkiàn,tiông-kiàn,chhùngkien,重建,重建,重建
1724,chhùng-kien,chhùng-kien,chhung2-kien4,[tsʰuŋ˩˩] [kien˥˥],tiôngkiàn,tiông-kiàn,chhùngkien,重見,重見,重見
1725,chhûng-kiûn,chhûng-kiûn,chhung1-kiun1,[tsʰuŋ˨˦] [kiun˨˦],chhiongkun,chhiong-kun,chhûngkiûn,充軍,充軍,充軍
1726,chhûng-ko,chhûng-ko,chhung1-ko4,[tsʰuŋ˨˦] [ko˥˥],chhiong kòe,chhiong kòe,chhûngko,衝過,衝過,衝過
1727,chhûng-kûng,chhûng-kûng,chhung1-kung1,[tsʰuŋ˨˦] [kuŋ˨˦],chhiongkong,chhiong-kong,chhûngkûng,充公,充公,充公
1728,chhûng-lî,chhûng-lî,chhung1-li1,[tsʰuŋ˨˦] [li˨˦],tāng lé,tāng lé,chhûng lî,重禮,重禮,重禮
1729,chhung-liong,chhung-liong,chhung4-liong4,[tsʰuŋ˥˥] [lioŋ˥˥],tāngliōng,tāng-liōng,chhungliong,重量,重量,重量
1730,chhûng-thiên,chhûng-thiên,chhung1-thien1,[tsʰuŋ˨˦] [tʰien˨˦],chhiogthian,chhiogthian,chhûngthiên,沖天,沖天,沖天
1731,chhûng-mân,chhûng-mân,chhung1-man1,[tsʰuŋ˨˦] [man˨˦],chhiongmóa,chhiong-móa,chhûngmân,充滿,充滿,充滿
1732,chûng-mí,chûng-mí,chung1-mi3,[tsuŋ˨˦] [mi˧˩],cheng bí,cheng bí,chûng mí,舂米,舂米,舂米
1733,chhûng-mìn,chhûng-mìn,chhung1-min2,[tsʰuŋ˨˦] [min˩˩],chhongbêng,chhong-bêng,chhûngmìn,聰明,聰明,聰明
1734,chhûng-mùn,chhûng-mùn,chhung1-mun2,[tsʰuŋ˨˦] [mun˩˩],thang'á mn̂g,thang-á mn̂g,chhûngmùn,窗門,窗á門,窗門
1735,chhung-ngi̍p,chhung-ngi̍p,chhung4-ngip5,[tsʰuŋ˥˥] [ɲip̚˥],chhiong ji̍p,chhiong ji̍p,chhungngi̍p,衝入,衝入,衝入
1736,chhûng-ngi̍p,chhûng-ngi̍p,chhung1-ngip5,[tsʰuŋ˨˦] [ɲip̚˥],chhiong jip,chhiong jip,chhûngngi̍p,沖入,沖入,沖入
1737,chhùng-pai,chhùng-pai,chhung2-pai4,[tsʰuŋ˩˩] [pai˥˥],chôngpài,chông-pài,chhùngpai,崇拜,崇拜,崇拜
1738,chhûng-san,chhûng-san,chhung1-san4,[tsʰuŋ˨˦] [san˥˥],chhiong sòaⁿ,chhiong sòaⁿ,chhûng san,沖散,沖散,沖散
1739,chhûng-se,chhûng-se,chhung1-se4,[tsʰuŋ˨˦] [se˥˥],tāng sū,tāng sū,chhûng se,重事,重事,重事
1740,chhûng-sé,chhûng-sé,chhung1-se3,[tsʰuŋ˨˦] [se˧˩],chhiongsé,chhiong-sé,chhûngsé,沖洗,沖洗,沖洗
1741,chhùng-sên,chhùng-sên,chhung2-sen1,[tsʰuŋ˩˩] [sen˨˦],tiôngseng,tiông-seng,chhùngsên,重生,重生,重生
1742,chhùng-siá,chhùng-siá,chhung2-sia3,[tsʰuŋ˩˩] [ɕia˧˩],têngsiá,têng-siá,chhùngsiá,重寫,重寫,重寫
1743,chhùng-sîn,chhùng-sîn,chhung2-sin1,[tsʰuŋ˩˩] [ɕin˨˦],têngsin,têng-sin,chhùngsîn,重新,重新,重新
1744,chhùng-siû,chhùng-siû,chhung2-siu1,[tsʰuŋ˩˩] [ɕiu˨˦],tiôngsiu,tiông-siu,chhùngsiû,重修,重修,重修
1745,chhûng-soi,chhûng-soi,chhung1-soi4,[tsʰuŋ˨˦] [soi˥˥],tāng sòe,tāng sòe,chhûng soi,重稅,重稅,重稅
1746,chhûng-sông,chhûng-sông,chhung1-song1,[tsʰuŋ˨˦] [soŋ˨˦],tāngsiong,tāng-siong,chhûngsông,重傷,重傷,重傷
1747,chhûng-sông,chhûng-sông,chhung1-song1,[tsʰuŋ˨˦] [soŋ˨˦],tiōngsiong,tiōng-siong,chhûngsông,重傷,重傷,重傷
1748,chhung-sṳ,chhung-sṳ,chhung4-sii4,[tsʰuŋ˥˥] [sɨ˥˥],tiōngsī,tiōng-sī,chhungsṳ,重視,重視,重視
1749,chhûng-súi,chhûng-súi,chhung1-sui3,[tsʰuŋ˨˦] [sui˧˩],chhiong chúi,chhiong chúi,chhûng súi,沖水,沖水,沖水
1750,chhùng-sṳ̂n,chhùng-sṳ̂n,chhung2-siin1,[tsʰuŋ˩˩] [sɨn˨˦],tiôngsin,tiông-sin,chhùngsṳ̂n,重申,重申,重申
1751,chhûng-tâm,chhûng-tâm,chhung1-tam1,[tsʰuŋ˨˦] [tam˨˦],tāngtàⁿ,tāng-tàⁿ,chhûngtâm,重擔,重擔,重擔
1752,chhûng-tèm-tèm,chhûng-tèm-tèm,chhung1-tem2-tem2,[tsʰuŋ˨˦] [tem˩˩] [tem˩˩],tāng hoaiⁿhhoaiⁿh,tāng hoaiⁿh-hoaiⁿh,chhûng tèmtèm,重沉沉,重hoaiⁿhhoaiⁿh,很重
1753,chhûng-tén,chhûng-tén,chhung1-ten3,[tsʰuŋ˨˦] [ten˧˩],teh chhiong,teh chhiong,chhûng tén,衝著,teh衝,衝著
1754,chhûng-tén,chhûng-tén,chhung1-ten3,[tsʰuŋ˨˦] [ten˧˩],teh chhiong,teh chhiong,chhûng tén,沖著,teh沖,沖著
1755,chhùng-tet,chhùng-tet,chhung2-tet6,[tsʰuŋ˩˩] [tet̚˨],tiôngtit,tiông-tit,chhùngtet,重得,重得,重得
1756,chhung-thai,chhung-thai,chhung4-thai4,[tsʰuŋ˥˥] [tʰai˥˥],tiōngtāi,tiōng-tāi,chhungthai,重大,重大,重大
1757,chhûng-thiên,chhûng-thiên,chhung1-thien1,[tsʰuŋ˨˦] [tʰien˨˦],chhiong thian,chhiong thian,chhûngthiên,衝天,衝天,衝天
1758,chhûng-thiên-phau,chhûng-thiên-phau,chhung1-thien1-phau4,[tsʰuŋ˨˦] [tʰien˨˦] [pʰau˥˥],chhiongthian phàu,chhiong-thian phàu,chhûngthiên phau,沖天炮,沖天炮,沖天炮
1759,chhûng-thung,chhûng-thung,chhung1-thung4,[tsʰuŋ˨˦] [tʰuŋ˥˥],chhiongtōng,chhiong-tōng,chhûngthung,衝動,衝動,衝動
1760,chhûng-thut,chhûng-thut,chhung1-thut6,[tsʰuŋ˨˦] [tʰut̚˨],chhiongtu̍t,chhiong-tu̍t,chhûngthut,衝突,衝突,衝突
1761,chhûng-thu̍t,chhûng-thu̍t,chhung1-thut5,[tsʰuŋ˨˦] [tʰut̚˥],chhiongtu̍t,chhiong-tu̍t,chhûngthu̍t,衝突,衝突,衝突
1762,chhung-tiám,chhung-tiám,chhung4-tiam3,[tsʰuŋ˥˥] [tiam˧˩],tiōngtiám,tiōng-tiám,chhungtiám,重點,重點,重點
1763,chhûng-to,chhûng-to,chhung1-to4,[tsʰuŋ˨˦] [to˥˥],chhiong kah,chhiong kah,chhûngto,沖到,沖kah,沖到
1764,chhûng-to,chhûng-to,chhung1-to4,[tsʰuŋ˨˦] [to˥˥],tāng kah,tāng kah,chhûng to,重到,重kah,重到
1765,chhûng-tó,chhûng-tó,chhung1-to3,[tsʰuŋ˨˦] [to˧˩],chhiong tio̍h,chhiong tio̍h,chhûngtó,衝到,衝tio̍h,衝到
1766,chhûng-tó,chhûng-tó,chhung1-to3,[tsʰuŋ˨˦] [to˧˩],chhiong tio̍h,chhiong tio̍h,chhûngtó,沖到,沖tio̍h,沖到
1767,chhùng-tôi,chhùng-tôi,chhung2-toi1,[tsʰuŋ˩˩] [toi˨˦],thâng tui,thâng tui,chhùng tôi,蟲堆,蟲堆,蟲堆
1768,chhùng-vì,chhùng-vì,chhung2-vi2,[tsʰuŋ˩˩] [ʋi˩˩],tiôngûi,tiông-ûi,chhùngvì,重圍,重圍,重圍
1769,chhung-yeu,chhung-yeu,chhung4-yeu4,[tsʰuŋ˥˥] [ieu˥˥],tiōngiàu,tiōng-iàu,chhungyeu,重要,重要,重要
1770,chhung-yeu-sin,chhung-yeu-sin,chhung4-yeu4-sin4,[tsʰuŋ˥˥] [ieu˥˥] [ɕin˥˥],tiōngiàu sèng,tiōng-iàu sèng,chhungyeusin,重要性,重要性,重要性
1771,chhung-yim,chhung-yim,chhung4-yim4,[tsʰuŋ˥˥] [im˥˥],tāngjīm,tāng-jīm,chhungyim,重任,重任,重任
1772,chhung-yung,chhung-yung,chhung4-yung4,[tsʰuŋ˥˥] [iuŋ˥˥],tiōngiōng,tiōng-iōng,chhungyung,重用,重用,重用
1773,chhut-âi-khi̍p-ki,chhut-âi-khi̍p-ki,chhut6-ai1-khip5-ki4,[tsʰut̚˨] [ai˨˦] [kʰip̚˥] [ki˥˥],Chhut Aiki̍p kì,Chhut Ai-ki̍p kì,chhutâikhi̍pki,出埃及記,出埃及記,出埃及記
1774,chhut-chan,chhut-chan,chhut6-chan4,[tsʰut̚˨] [tsan˥˥],chhut chiàn,chhut chiàn,chhutchan,出戰,出戰,出戰
1775,chhu̍t-châu,chhu̍t-châu,chhut5-chau1,[tsʰut̚˥] [tsau˨˦],chhit ta,chhit ta,chhu̍tchâu,拭燥,拭ta,擦乾
1776,chhu̍t-chhiang,chhu̍t-chhiang,chhut5-chhiang4,[tsʰut̚˥] [tɕʰiaŋ˥˥],chhit chhengkhì,chhit chheng-khì,chhu̍tchhiang,拭淨,拭清氣,擦乾淨
1777,chhut-chhièn,chhut-chhièn,chhut6-chhien2,[tsʰut̚˨] [tɕʰien˩˩],chhut chîⁿ,chhut chîⁿ,chhut chhièn,出錢,出錢,出錢
1778,chhṳ̍t-chhòng,chhṳ̍t-chhòng,chhiit5-chhong2,[tsʰɨt̚˥] [tsʰoŋ˩˩],ti̍ttn̂g,ti̍t-tn̂g,chhṳ̍tchhòng,直腸,直腸,直腸
1779,chhut-sṳ,chhut-sṳ,chhut6-sii4,[tsʰut̚˨] [sɨ˥˥],chhut tāichì,chhut tāi-chì,chhutsṳ,出事,出代誌,出事
1780,chhṳ̍t-chhṳ̍t,chhṳ̍t-chhṳ̍t,chhiit5-chhiit5,[tsʰɨt̚˥] [tsʰɨt̚˥],ti̍tti̍t,ti̍t-ti̍t,chhṳ̍tchhṳ̍t,直直,直直,直直
1781,chhṳ̍t-chiap,chhṳ̍t-chiap,chhiit5-chiap6,[tsʰɨt̚˥] [tɕiap̚˨],ti̍tchiap,ti̍t-chiap,chhṳ̍tchiap,直接,直接,直接
1782,chhut-chok,chhut-chok,chhut6-chok6,[tsʰut̚˨] [tsok̚˨],chhuttoh,chhut-toh,chhutchok,出桌,出菜,上菜
1783,chhut-chû,chhut-chû,chhut6-chu1,[tsʰut̚˨] [tsu˨˦],chhutcho͘,chhut-cho͘,chhutchû,出租,出租,出租
1784,chhut-chṳ̂n,chhut-chṳ̂n,chhut6-chiin1,[tsʰut̚˨] [tsɨn˨˦],chhutcheng,chhut-cheng,chhutchṳ̂n,出征,出征,出征
1785,chhṳ̍t-é,chhṳ̍t-é,chhiit5-e3,[tsʰɨt̚˥] [e˧˩],ti̍t'á,ti̍t-á,chhṳ̍t'é,姪é,姪á,姪子
1786,chhut-fat,chhut-fat,chhut6-fat6,[tsʰut̚˨] [fat̚˨],chhuthoat,chhut-hoat,chhutfat,出發,出發,出發
1787,chhṳ̍t-hàng,chhṳ̍t-hàng,chhiit5-hang2,[tsʰɨt̚˥] [haŋ˩˩],ti̍t kiâⁿ,ti̍t kiâⁿ,chhṳ̍thàng,直行,直行,直行
1788,chhut-khéu,chhut-khéu,chhut6-kheu3,[tsʰut̚˨] [kʰeu˧˩],chhutkháu,chhut-kháu,chhutkhéu,出口,出口,出口
1789,chhut-hi,chhut-hi,chhut6-hi4,[tsʰut̚˨] [hi˥˥],chhut khì,chhut khì,chhuthi,出去,出去,出去
1790,chhut-hi,chhut-hi,chhut6-hi4,[tsʰut̚˨] [hi˥˥],chhutkhì,chhut-khì,chhuthi,出氣,出氣,出氣
1791,chhut-hien,chhut-hien,chhut6-hien4,[tsʰut̚˨] [hien˥˥],chhuthiān,chhut-hiān,chhuthien,出現,出現,出現
1792,chhut-hiet,chhut-hiet,chhut6-hiet6,[tsʰut̚˨] [hiet̚˨],chhut hoeh,chhut hoeh,chhuthiet,出血,出血,出血
1793,chhṳ̍t-hiong,chhṳ̍t-hiong,chhiit5-hiong4,[tsʰɨt̚˥] [hioŋ˥˥],ti̍t hiòng,ti̍t hiòng,chhṳ̍thiong,直向,直向,直向
1794,chhut-hói,chhut-hói,chhut6-hoi3,[tsʰut̚˨] [hoi˧˩],chhut hái,chhut hái,chhuthói,出海,出海,出海
1795,chhut-hon,chhut-hon,chhut6-hon4,[tsʰut̚˨] [hon˥˥],chhut kōaⁿ,chhut kōaⁿ,chhuthon,出汗,出汗,出汗
1796,chhut-ka,chhut-ka,chhut6-ka4,[tsʰut̚˨] [ka˥˥],chhutkè,chhut-kè,chhutka,出嫁,出嫁,出嫁
1797,chhṳ̍t-kang,chhṳ̍t-kang,chhiit5-kang4,[tsʰɨt̚˥] [kaŋ˥˥],ti̍tkèng,ti̍t-kèng,chhṳ̍tkang,直徑,直徑,直徑
1798,chhut-khièn,chhut-khièn,chhut6-khien2,[tsʰut̚˨] [kʰien˩˩],chhut kûn,chhut kûn,chhutkhièn,出拳,出拳,出拳
1799,chhṳt-khúng,chhṳt-khúng,chhiit6-khung3,[tsʰɨt̚˨] [kʰuŋ˧˩],chhitkhóng,chhit-khóng,chhṳtkhúng,七孔,七孔,七孔
1800,chhṳ̍t-kok,chhṳ̍t-kok,chhiit5-kok6,[tsʰɨt̚˥] [kok̚˨],ti̍tkak,ti̍t-kak,chhṳ̍tkok,直角,直角,直角
1801,chhṳ̍t-kóng,chhṳ̍t-kóng,chhiit5-kong3,[tsʰɨt̚˥] [koŋ˧˩],ti̍t kóng,ti̍t kóng,chhṳ̍tkóng,直講,直講,直講
1802,chhut-li̍t,chhut-li̍t,chhut6-lit5,[tsʰut̚˨] [lit̚˥],chhutla̍t,chhut-la̍t,chhutli̍t,出力,出力,出力
1803,chhut-lòi,chhut-lòi,chhut6-loi2,[tsʰut̚˨] [loi˩˩],chhut lâi,chhut lâi,chhutlòi,出來,出來,出來
1804,chhut-lu,chhut-lu,chhut6-lu4,[tsʰut̚˨] [lu˥˥],chhutlō͘,chhut-lō͘,chhutlu,出路,出路,出路
1805,chhṳ̍t-lu,chhṳ̍t-lu,chhiit5-lu4,[tsʰɨt̚˥] [lu˥˥],ti̍t lō͘,ti̍t lō͘,chhṳ̍tlu,直路,直路,直路
1806,chhut-lu-ki,chhut-lu-ki,chhut6-lu4-ki4,[tsʰut̚˨] [lu˥˥] [ki˥˥],chhutlō͘ kì,chhut-lō͘ kì,chhutluki,出路記,出路記,出路記
1807,chhut-mai,chhut-mai,chhut6-mai4,[tsʰut̚˨] [mai˥˥],chhutbē,chhut-bē,chhutmai,出賣,出賣,出賣
1808,chhut-miàng,chhut-miàng,chhut6-miang2,[tsʰut̚˨] [miaŋ˩˩],chhutmiâ,chhut-miâ,chhutmiàng,出名,出名,出名
1809,chhut-mien,chhut-mien,chhut6-mien4,[tsʰut̚˨] [mien˥˥],chhutbīn,chhut-bīn,chhutmien,出面,出面,出面
1810,chhṳ̍t-mìn,chhṳ̍t-mìn,chhiit5-min2,[tsʰɨt̚˥] [min˩˩],si̍tbîn,si̍t-bîn,chhṳ̍tmìn,殖民,殖民,殖民
1811,chhut-mùn,chhut-mùn,chhut6-mun2,[tsʰut̚˨] [mun˩˩],chhutmn̂g,chhut-mn̂g,chhutmùn,出門,出門,出門
1812,chhṳ̍t-ne,chhṳ̍t-ne,chhiit5-ne4,[tsʰɨt̚˥] [ne˥˥],ti̍thē,ti̍t-hē,chhṳ̍tne,直系,直系,直系
1813,chhṳ̍t-ńg,chhṳ̍t-ńg,chhiit5-ng3,[tsʰɨt̚˥] [ŋ˧˩],ti̍tlí,ti̍t-lí,chhṳ̍tńg,侄女,侄女,侄女
1814,chhut-ngiong,chhut-ngiong,chhut6-ngiong4,[tsʰut̚˨] [ɲioŋ˥˥],chhutniū,chhut-niū,chhutngiong,出讓,出讓,出讓
1815,chhut-ngi̍p,chhut-ngi̍p,chhut6-ngip5,[tsʰut̚˨] [ɲip̚˥],chhutji̍p,chhut-ji̍p,chhutngi̍p,出入,出入,出入
1816,chhut-ngi̍p-héu,chhut-ngi̍p-héu,chhut6-ngip5-heu3,[tsʰut̚˨] [ɲip̚˥] [heu˧˩],chhutji̍p kháu,chhut-ji̍p kháu,chhutngi̍p héu,出入口,出入口,出入口
1817,chhut-ngit,chhut-ngit,chhut6-ngit6,[tsʰut̚˨] [ɲit̚˨],chhut ji̍t,chhut ji̍t,chhutngit,出日,出日,出日
1818,chhut-ngoi,chhut-ngoi,chhut6-ngoi4,[tsʰut̚˨] [ŋoi˥˥],chhutgōa,chhut-gōa,chhutngoi,出外,出外,出外
1819,chhut-pán,chhut-pán,chhut6-pan3,[tsʰut̚˨] [pan˧˩],chhutpán,chhut-pán,chhutpán,出版,出版,出版
1820,chhṳ̍t-pân,chhṳ̍t-pân,chhiit5-pan1,[tsʰɨt̚˥] [pan˨˦],ti̍tpan,ti̍t-pan,chhṳ̍tpân,值班,值班,值班
1821,chhut-pîn,chhut-pîn,chhut6-pin1,[tsʰut̚˨] [pin˨˦],chhutpeng,chhut-peng,chhutpîn,出兵,出兵,出兵
1822,chhu̍t-pô-lì,chhu̍t-pô-lì,chhut5-po1-li2,[tsʰut̚˥] [po˨˦] [li˩˩],chhit polê,chhit po-lê,chhu̍tpôlì,拭玻璃,拭玻璃,擦玻璃
1823,chhut-sán,chhut-sán,chhut6-san3,[tsʰut̚˨] [san˧˩],chhutsán,chhut-sán,chhutsán,出產,出產,出產
1824,chhut-sàng,chhut-sàng,chhut6-sang2,[tsʰut̚˨] [saŋ˩˩],chhut siâⁿ,chhut siâⁿ,chhutsàng,出城,出城,出城
1825,chhut-sâng,chhut-sâng,chhut6-sang1,[tsʰut̚˨] [saŋ˨˦],chhut siaⁿ,chhut siaⁿ,chhutsâng,出聲,出聲,出聲
1826,chhut-se,chhut-se,chhut6-se4,[tsʰut̚˨] [se˥˥],chhutsì,chhut-sì,chhutse,出世,出世,出世
1827,chhut-sên,chhut-sên,chhut6-sen1,[tsʰut̚˨] [sen˨˦],chhutseⁿ,chhut-seⁿ,chhutsên,出生,出生,出生
1828,chhṳ̍t-sien,chhṳ̍t-sien,chhiit5-sien4,[tsʰɨt̚˥] [ɕien˥˥],ti̍tsòaⁿ,ti̍t-sòaⁿ,chhṳ̍tsien,直線,直線,直線
1829,chhut-sit,chhut-sit,chhut6-sit6,[tsʰut̚˨] [ɕit̚˨],chhutthoat,chhut-thoat,chhutsit,出息,出脫,出息
1830,chhut-si̍t,chhut-si̍t,chhut6-sit5,[tsʰut̚˨] [ɕit̚˥],chhutse̍k,chhut-se̍k,chhutsi̍t,出席,出席,出席
1831,chhut-sú,chhut-sú,chhut6-su3,[tsʰut̚˨] [su˧˩],chhut chhiú,chhut chhiú,chhutsú,出手,出手,出手
1832,chhut-sṳ̂,chhut-sṳ̂,chhut6-sii1,[tsʰut̚˨] [sɨ˨˦],chhutsu,chhut-su,chhutsṳ̂,出師,出師,出師
1833,chhut-súi,chhut-súi,chhut6-sui3,[tsʰut̚˨] [sui˧˩],chhutchúi,chhut-chúi,chhutsúi,出水,出水,出水
1834,chhut-sùn,chhut-sùn,chhut6-sun2,[tsʰut̚˨] [sun˩˩],chhutsûn,chhut-sûn,chhutsùn,出巡,出巡,出巡
1835,chhut-sṳ̂n,chhut-sṳ̂n,chhut6-siin1,[tsʰut̚˨] [sɨn˨˦],chhutsin,chhut-sin,chhutsṳ̂n,出身,出身,出身
1836,chhṳ̍t-sûn,chhṳ̍t-sûn,chhiit5-sun1,[tsʰɨt̚˥] [sun˨˦],ti̍tsun,ti̍t-sun,chhṳ̍tsûn,侄孫,侄孫,兄弟的孫子
1837,chhṳ̍t-tet,chhṳ̍t-tet,chhiit5-tet6,[tsʰɨt̚˥] [tet̚˨],ta̍tti̍t,ta̍t-ti̍t,chhṳ̍ttet,值得,值得,值得
1838,chhṳ̍t-tha̍t,chhṳ̍t-tha̍t,chhiit5-that5,[tsʰɨt̚˥] [tʰat̚˥],ti̍tta̍t,ti̍t-ta̍t,chhṳ̍ttha̍t,直達,直達,直達
