ID,Hakfa_FHL_Unicode,Hanzi,Hakfa_HanLo,Taigi_FHL_Unicode,Taigi_HanLo,Hua-gi
1812,chhṳ̍t-ne,chhṳ̍tne,直系,ti̍thē,直系,直系
1813,chhṳ̍t-ńg,chhṳ̍tńg,侄女,ti̍tlí,侄女,侄女
1814,chhut-ngiong,chhutngiong,出讓,chhutniū,出讓,出讓
1815,chhut-ngi̍p,chhutngi̍p,出入,chhutji̍p,出入,出入
1816,chhut-ngi̍p-héu,chhutngi̍p héu,出入口,chhutji̍p kháu,出入口,出入口
1817,chhut-ngit,chhutngit,出日,chhut ji̍t,出日,出日
1818,chhut-ngoi,chhutngoi,出外,chhutgōa,出外,出外
1819,chhut-pán,chhutpán,出版,chhutpán,出版,出版
1820,chhṳ̍t-pân,chhṳ̍tpân,值班,ti̍tpan,值班,值班
1821,chhut-pîn,chhutpîn,出兵,chhutpeng,出兵,出兵
1822,chhu̍t-pô-lì,chhu̍tpôlì,拭玻璃,chhit polê,拭玻璃,擦玻璃
1823,chhut-sán,chhutsán,出產,chhutsán,出產,出產
1824,chhut-sàng,chhutsàng,出城,chhut siâⁿ,出城,出城
1825,chhut-sâng,chhutsâng,出聲,chhut siaⁿ,出聲,出聲
1826,chhut-se,chhutse,出世,chhutsì,出世,出世
1827,chhut-sên,chhutsên,出生,chhutseⁿ,出生,出生
1828,chhṳ̍t-sien,chhṳ̍tsien,直線,ti̍tsòaⁿ,直線,直線
1829,chhut-sit,chhutsit,出息,chhutthoat,出脫,出息
1830,chhut-si̍t,chhutsi̍t,出席,chhutse̍k,出席,出席
1831,chhut-sú,chhutsú,出手,chhut chhiú,出手,出手
1832,chhut-sṳ̂,chhutsṳ̂,出師,chhutsu,出師,出師
1833,chhut-súi,chhutsúi,出水,chhutchúi,出水,出水
1834,chhut-sùn,chhutsùn,出巡,chhutsûn,出巡,出巡
1835,chhut-sṳ̂n,chhutsṳ̂n,出身,chhutsin,出身,出身
1836,chhṳ̍t-sûn,chhṳ̍tsûn,侄孫,ti̍tsun,侄孫,兄弟的孫子
1837,chhṳ̍t-tet,chhṳ̍ttet,值得,ta̍tti̍t,值得,值得
1838,chhṳ̍t-tha̍t,chhṳ̍ttha̍t,直達,ti̍tta̍t,直達,直達
1839,chhṳ̍t-tha̍t-chhâ,chhṳ̍ttha̍t chhâ,直達車,titta̍t chhia,直達車,直達車
1840,chhu̍t-thet,chhu̍tthet,拭掉,chhit tiāu,拭掉,擦掉
1841,chhut-thèu,chhutthèu,出頭,chhutthâu,出頭,出頭
1842,chhṳ̍t-theu,chhṳ̍t theu,直透,ti̍t thàu,直透,直達
1843,chhut-thèu-thiên,chhutthèuthiên,出頭天,chhutthâuthiⁿ,出頭天,熬出頭
1844,chhut-thìn,chhutthìn,出庭,chhuttêng,出庭,出庭
1845,chhut-thung,chhutthung,出動,chhuttōng,出動,出動
1846,chhut-mùn,chhutmùn,出門,chhut mn̂g,出門,出門
1847,chhṳ̍t-vu̍t,chhṳ̍tvu̍t,植物,si̍tbu̍t,植物,植物
1848,chhut-yéng,chhutyéng,出營,chhut iâⁿ,出營,出營
1849,chhut-yên,chhutyên,出煙,chhut ian,出煙,出煙
1850,chhṳ̍t-yi̍t,chhṳ̍tyi̍t,直譯,ti̍te̍k,直譯,直譯
1851,chi-cha,chicha,漬炸,iûchà,油炸,漬炸
1852,chí-chhông,chíchhông,姊丈,chíhu,姊夫,姊夫
1853,chi-chiú,chi chiú,祭酒,chè chiú,祭酒,祭酒
1854,chì-chûng,chìchûng,曲終,khiokchiong,曲終,曲終
1855,chi-sṳ,chi sṳ,祭祀,chè sū,祭祀,祭祀
1856,chi-lî,chilî,祭禮,chèlé,祭禮,祭禮
1857,chí-moi,chímoi,姊妹,chíbōe,姊妹,姊妹
1858,chi-ngî,chingî,祭儀,chègî,祭儀,祭儀
1859,chi-ngiuk,chi ngiuk,祭肉,chè bah,祭肉,祭肉
1860,chi-pai,chipai,祭拜,chèpài,祭拜,祭拜
1861,chi-phín,chiphín,祭品,chè phín,祭品,祭品
1862,chi-sên,chi sên,祭牲,chè seng,祭牲,祭牲
1863,chi-sôi-ngìn,chisôingìn,祭衰人,bēkiànsiàu,bē見笑,非常丟臉
1864,chi-sṳ̂,chisṳ̂,祭司,chèsi,祭司,祭司
1865,chi-sṳ̂-chóng,chisṳ̂ chóng,祭司長,chèsi tiúⁿ,祭司長,祭司長
1866,chi-sṳ̂-yen,chisṳ̂ yen,祭司院,chèsi īⁿ,祭司院,祭司院
1867,chi-thàn,chithàn,祭壇,chètôaⁿ,祭壇,祭壇
1868,chi-tién,chitién,祭典,chètián,祭典,祭典
1869,chi-vu̍t,chivu̍t,漬物,chiùⁿchhài,醬菜,漬物
1870,chi-vu̍t,chivu̍t,祭物,chèmi̍h,祭物,祭物
1871,chia-chhièn,chia chhièn,借錢,chioh chîⁿ,借錢,借錢
1872,chia-chho̍k,chia chho̍k,藉著,chià tio̍h,藉著,藉著
1873,chia-hiet,chiahiet,借歇,chiohhioh,借歇,借住
1874,chia-khiéu,chiakhiéu,藉口,chiàkháu,藉口,藉口
1875,chia-kí,chiakí,借據,chiohkù,借據,借據
1876,chia-ko,chia ko,借過,chioh kòe,借過,借過
1877,chiá-kûng,chiákûng,姐公,gōakong,外公,外公
1878,chiâm-lòi-chiâm-hi,chiâm lòi chiâm hi,尖來尖去,chiⁿ lâi chiⁿ khì,chiⁿ來chiⁿ去,擠來擠去
1879,chia-lòi,chia lòi,借來,chioh lâi,借來,借來
1880,chia-mun,chiamun,借問,chiohmn̄g,借問,借問
1881,chiá-phò,chiáphò,姐婆,gōamá,外媽,外婆
1882,chia-pûn,chia pûn,借給,chioh hō͘,借hō͘,借給
1883,chia-sû,chia sû,借書,chioh chheh,借冊,借書
1884,chia-têu,chia têu,借兜,chioh kóa,借kóa,借一些
1885,chia-thiàu,chiathiàu,借條,chiohtiâu,借條,借條
1886,chia-yung,chiayung,借用,chiohiōng,借用,借用
1887,chiâm-chiâm,chiâmchiâm,尖尖,chiamchiam,尖尖,銳利
1888,chiam-hi,chiam hi,佔去,chiàm khì,佔去,佔去
1889,chiâm-kok,chiâm kok,尖角,chiam kak,尖角,尖角
1890,chiâm-li,chiâmli,尖利,chiamlāi,尖利,尖銳
1891,chiâm-mân,chiâm mân,尖滿,chiⁿ móa,chiⁿ滿,擠滿
1892,chiâm-nêm,chiâm nêm,尖淰,chiⁿ tīⁿ,chiⁿ tīⁿ,擠滿
1893,chiâm-ngà,chiâm ngà,尖牙,chiam gê,尖牙,尖牙
1894,chiâm-ngi̍p,chiâm ngi̍p,尖入,chiⁿ ji̍p,chiⁿ入,擠入
1895,chiâm-sa̍k,chiâm sa̍k,尖石,chiam chio̍h,尖石,銳利的石頭
1896,chiam-tén,chiam tén,佔著,chiàm leh,佔leh,佔著
1897,chiâm-tén,chiâm tén,尖著,chiⁿ leh,擠leh,擠著
1898,chiám-theu-yù,chiám theuyù,蘸豆油,ùn tāuiû,ùn豆油,沾醬油
1899,chiâm-to,chiâm to,尖到,chiⁿ kah,擠 kah,擠到
1900,chiâng,chiâng,靚,súi,súi,漂亮
1901,chiâng-chiâng,chiângchiâng,靚靚,súisúi,súisúi,漂亮
1902,chiáng-chûng,chiáng chûng,井中,chéⁿ tiong,井中,井中
1903,chiáng-héu,chiáng héu,井口,chéⁿ kháu,井口,井口
1904,chiáng-koi,chiáng koi,井蓋,chéⁿ kòa,井蓋,井蓋
1905,chiâng-ne-ne,chiâng nene,靚膩膩,súi tangtang,súi tangtang,很美
1906,chiâng-ngiuk,chiâng ngiuk,靚肉,sánbah,瘦肉,瘦肉
1907,chiâng-sâm,chiângsâm,靚衫,súi saⁿ,súi衫,漂亮的上衣
1908,chiáng-súi,chiáng súi,井水,chéⁿ chúi,井水,井水
1909,chiáng-sùn,chiáng sùn,井脣,chéⁿ piⁿ,井邊,井邊
1910,chiáng-tú,chiáng tú,井肚,chéⁿ ni̍h,井裡,井裡
1911,chiap-chéu,chiap chéu,接走,chiap cháu,接走,接走
1912,chiap-chhuk,chiapchhuk,接觸,chiapchhiok,接觸,接觸
1913,chia̍p-chia̍p,chia̍pchia̍p,輒輒,chia̍pchia̍p,捷捷,常常
1914,chiap-choi,chiap choi,接嘴,chiap chhùi,接嘴,接話
1915,chiap-chṳ́,chiap chṳ́,接旨,chiap chí,接旨,接旨
1916,chiap-hâ-lòi,chiap hâlòi,接下來,sòa lo̍h lâi,續落來,接下來
1917,chiap-hi,chiap hi,接去,chiap khì,接去,接去
1918,chiap-khiun,chiapkhiun,接近,chiapkīn,接近,接近
1919,chiap-kien,chiapkien,接見,chiapkìⁿ,接見,接見
1920,chiap-ko,chiap ko,接過,chiap kòe,接過,接過
1921,chiap-kut,chiapkut,接骨,chiapkut,接骨,接骨
1922,chiap-lòi,chiaplòi,接來,chiap lâi,接來,接來
1923,chiap-na̍p,chiapna̍p,接納,chiapla̍p,接納,接納
1924,chhiùng-theù-chiap-ngi,chhiùng theù chiap ngi,從頭開始,têngthâu khaisí,重頭開始,從頭開始
