ID,Hakfa_FHL_Unicode,Hanzi,Hakfa_HanLo,Taigi_FHL_Unicode,Taigi_HanLo,Hua-gi
10414,pi-muk,pimuk,閉幕,pìbō͘,閉幕,閉幕
10415,pî-ńg,pîńg,婢女,chabó͘kán,chabó͘嫺,婢女
10416,pî-ngi̍p,pî ngi̍p,飛入,poe ji̍p,飛入,飛入
10417,pî-ôi,pîôi,悲哀,piai,悲哀,悲哀
10418,pî-ôi,pîôi,悲哀,piai,悲哀,悲哀
10419,pî-phàn,pî phàn,杯盤,poe pôaⁿ,杯盤,杯盤
10420,pî-sâ,pîsâ,飛沙,poesoa,飛沙,飛沙
10421,pî-sa̍k,pîsa̍k,碑石,pichio̍h,碑石,碑石
10422,pî-sa̍k,pîsa̍k,碑石,chio̍hpi,石碑,石碑
10423,pî-sèu,pîsèu,悲愁,pichhiû,悲愁,悲愁
10424,pí-sîm,pí sîm,比心,pí sim,比心,比心
10425,pì-siông,pìsiông,皮箱,phôesiuⁿ,皮箱,皮箱
10426,pí-soi,písoi,比賽,písài,比賽,比賽
10427,pî-sông,pîsông,悲傷,pisiong,悲傷,悲傷
10428,pî-sông-thiên,pî sông thiên,飛上天,poe chiūⁿ thiⁿ,飛上天,飛上天
10429,pí-sú,pí sú,比手,pí chhiú,比手,比手
10430,pi-tai,pitai,揹帶,phāiⁿtòa,揹帶,揹帶
10431,pí-tén,pí tén,比著,teh pí,teh比,比著
10432,pî-tén,pî tén,飛著,poe leh,飛leh,飛著
10433,pí-tet,pí tet,比得,pí tit,比得,比得
10434,Pí-tet-chhièn-sû,Pítet chhiènsû,彼得前書,Pítek chiânsu,彼得前書,彼得前書
10435,Pí-tet-heu-sû,Pítet heusû,彼得後書,Pítek hō͘su,彼得後書,彼得後書
10436,pî-than,pîthan,悲嘆,pithàn,悲嘆,悲嘆
10437,pi-thet,pi thet,痺掉,bâ khì,麻去,麻掉
10438,pî-thèu,pîthèu,陂頭,thêhōaⁿ,堤岸,攔水堤
10439,pî-thiau,pîthiau,飛跳,poethiàu,飛跳,飛跳
10440,pî-thòng,pîthòng,陂塘,tî'á,池á,池塘
10441,pî-thòng,pîthòng,陂塘,chúitî,水池,池塘
10442,pî-to,pî to,飛到,poe kah,飛kah,飛到
10443,pî-tú,pîtú,杯肚,au'á lāi,甌á內,杯裡
10444,pí-vú,pívú,比武,píbú,比武,比武
10445,pî-ye̍t,pîye̍t,飛越,poeoa̍t,飛越,飛越
10446,pí-yi,píyi,比喻,píjū,比喻,比喻
10447,pí-yim,píyim,庇蔭,pììm,庇蔭,庇蔭
10448,pi-yu,piyu,庇佑,pìiū,庇佑,庇佑
10449,pia-miang,piamiang,拼命,piàⁿmiā,拼命,拼命
10450,pia̍k-nó-kîn,pia̍knókîn,pia̍k腦筋,pia̍knáukin,中風,中風
10451,piak-sà-é,piaksà'é,壁蛇é,sianang'á,仙尪á,壁虎
10452,piâng-chhiang,piâng chhiang,摒淨,piàⁿ chheng,拚清,除淨
10453,piâng-chhut,piâng chhut,摒出,piàⁿ chhut khì,拚出去,丟出
10454,piâng-choi-kok,piâng choikok,抨嘴角,siàn chhùiphóe,siàn嘴phóe,甩耳光
10455,piáng-é,piáng'é,餅é,piáⁿ,餅,餅干
10456,piâng-hâ,piâng hâ,摒下,piàⁿ lo̍h lâi,拚落來,丟下
10457,piâng-hi,piânghi,摒棄,pàngsak,放sak,捨棄
10458,piang-ko,piang ko,拚過,piàⁿ kòe,拚過,拚過
10459,piang-miang,piangmiang,拚命,piàⁿmiā,拚命,拚命
10460,piang-miang-é,piangmiang'é,拼命é,piàⁿmiā ê,拚命ê,拼命
10461,piâng-pûn,piângpûn,摒給,piàⁿ hō͘,拚hō͘,丟給
10462,piang-sâng,piang sâng,拼生,piàⁿ seng,拚生,拼生
10463,piang-sí,piang sí,拼死,piàⁿ sí,拚死,拼死
10464,piâng-sí,piâng sí,摒死,siak sí,摔死,摔死
10465,piang-so,piangso,摒掃,piàⁿsàu,拚掃,打掃
10466,piang-so,piangso,拚掃,piàⁿsàu,拚掃,打掃
10467,piâng-sui,piângsui,摒碎,siak chhùi,摔碎,丟碎
10468,piang-tén,piang tén,拚著,piàⁿ tio̍h,拚tio̍h,拚著
10469,piâng-thet,piâng thet,抨掉,siak tiāu,摔掉,摔掉
10470,piâng-thet,piângthet,摒掉,siak tiāu,摔掉,丟掉
10471,piang-to,piang to,拚到,piàⁿ kah,拚kah,拚到
10472,piâng-to,piâng to,摒到,siak kah,摔kah,丟到
10473,piang-vuk,piang vuk,摒屋,piàⁿsàu chhù,拚掃厝,打掃房屋
10474,piang-yéng,piang yéng,拼贏,piàⁿ iâⁿ,拚贏,拼贏
10475,pien-am,pien am,變暗,piàn àm,變暗,變暗
10476,pien-chheu,pien chheu,變瘦,piàn sán,變瘦,變瘦
10477,pien-chhiên,pienchhiên,變遷,piànchhian,變遷,變遷
10478,pien-chhîn,pien chhîn,變清,piàn chheng,變清,變清
10479,pien-chhu,pien chhu,變臭,piàn chhàu,變臭,變臭
10480,pien-chhṳ̍t,pien chhṳ̍t,變直,piàn ti̍t,變直,變直
10481,pien-chiâng,pien chiâng,變靚,piàn súi,變súi,變美
10482,pien-chiet,pienchiet,變節,piànchiat,變節,變節
10483,pien-cho,pien cho,變做,piàn chò,變做,變做
10484,pien-chón,pienchón,變轉,choánpiàn,轉變,變轉
10485,pién-chón-lòi,pién chónlòi,貶轉來,péng kòe lâi,péng過來,翻過來
10486,piên-chṳ,piênchṳ,編製,pianchè,編製,編製
10487,pien-chṳt,pienchṳt,變質,piànchit,變質,變質
10488,piên-é,piên'é,鞭é,piⁿ,鞭,鞭子
10489,pien-fa,pienfa,變化,piànhòa,變化,變化
10490,pien-fái,pien fái,變壞,piàn pháiⁿ,變pháiⁿ,變壞
10491,pien-fat,pien fat,變闊,piàn khoah,變闊,變闊
10492,pien-fôi,pien fôi,變灰,piàn hu,變灰,變灰
10493,piên-fòng,piênfòng,邊防,pianhông,邊防,邊防
10494,pien-fú,pien fú,變苦,piàn khó͘,變苦,變苦
10495,pien-fùng,pien fùng,變紅,piàn âng,變紅,變紅
10496,pien-hìn,pienhìn,變形,piànhêng,變形,變形
10497,piên-hìn,piênhìn,鞭刑,pianhêng,鞭刑,鞭刑
10498,pien-hó,pien hó,變好,piàn hó,變好,變好
10499,pien-khì-su̍t,pienkhì su̍t,變奇術,piàn mô͘su̍t,變魔術,變魔術
10500,piên-kiai,piênkiai,邊界,piankài,邊界,邊界
10501,pien-kien,pienkien,變更,piànkeng,變更,變更
10502,pien-kîm,pien kîm,變金,piàn kim,變金,變金
10503,piên-kin,piênkin,邊境,piankéng,邊境,邊境
10504,pien-ko,pien ko,變過,piàn kòe,變過,變過
10505,pien-koai,pienkoai,變怪,pìⁿkoài,變怪,變怪
10506,pien-kúi,pienkúi,變鬼,pìⁿkúi,變鬼,變鬼
10507,pien-lon,pienlon,變亂,piànloān,變亂,變亂
10508,pien-mai,pienmai,變賣,pianbē,變賣,變賣
10509,pien-mien,pienmien,變面,pìⁿbīn,翻臉,翻臉
10510,pién-mien,piénmien,貶面,péngbīn,péng面,反面
10511,pien-mò,pien mò,變無,piàn bô,變無,變無
10512,pien-ngiôn,pien ngiôn,變軟,piàn nńg,變軟,變軟
10513,pien-ngong,pien ngong,變戇,piàn gōng,變傻,變傻
10514,pien-pha̍k,pien pha̍k,變白,piàn pe̍h,變白,變白
10515,pien-phì,pien phì,變肥,piàn pûi,變肥,變肥
10516,piên-sâng,piên sâng,鞭聲,pian siaⁿ,鞭聲,鞭聲
10517,pien-set,pienset,變色,piānsek,變色,變色
10518,pien-set-liùng,piensetliùng,變色龍,piānsek lêng,變色龍,變色龍
10519,pien-séu,pienséu,變少,piàn chió,變少,變少
10520,pien-sîm,piensîm,變心,piànsim,變心,變心
10521,pien-siong,piensiong,變相,piàn sèng,變性,個性嗜好完全改變
10522,piên-si̍p,piênsi̍p,編輯,pianchip,編輯,編輯
10523,pien-sôn,pien sôn,變酸,piàn sng,變酸,變酸
10524,piên-sông,piên sông,鞭傷,piansiong,鞭傷,鞭傷
10525,pien-sṳ̀n,piensṳ̀n,變成,piànsêng,變成,變成
10526,piên-sùn,piênsùn,邊脣,piⁿ'á,邊á,旁邊
10527,pién-sṳ̍t,piénsṳ̍t,扁食,piánsi̍t,扁食,餛飩
10528,pién-sṳ̍t,piénsṳ̍t,扁食,piánsi̍t,扁食,餛飩
10529,piên-tá,piêntá,鞭打,piⁿphah,鞭拍,鞭打
10530,pien-thai,pien thai,變大,piàn tōa,變大,變大
10531,pien-thâm,pien thâm,變淡,piàn chiáⁿ,變chiáⁿ,變淡
10532,pien-thiên,pien thiên,變天,piàn thiⁿ,變天,變天
10533,pien-thiên,pien thiên,變天,piàn thiⁿ,變天,變天
10534,pien-thien-só,pienthiensó,變電所,piàntiān só͘,變電所,變電所
10535,pien-thûng,pienthûng,變通,piànthong,變通,變通
10536,pien-von,pienvon,變換,piànōaⁿ,變換,變換
10537,pien-vòng,pien vòng,變黃,piàn n̂g,變黃,變黃
10538,pien-vû,pien vû,變烏,piàn o͘,變黑,變黑
10539,pien-yéng,pienyéng,辯贏,piān iâⁿ,辯贏,辯贏
10540,pin-chhiá,pinchhiá,並且,pēngchhiáⁿ,並且,並且
10541,pîn-é,pîn'é,兵é,peng'á,兵á,士兵
10542,pin-fat-chṳn,pinfat chṳn,拼發症,pēnghoat chèng,拼發症,拼發症
10543,pîn-fî,pînfî,嬪妃,pînhui,嬪妃,嬪妃
10544,pîn-hi,pînhi,兵器,pengkhì,兵器,兵器
10545,pîn-hi-khu,pînhikhu,兵器庫,pengkhì khò͘,兵器庫,兵器庫
10546,pin-kiên,pinkiên,並肩,pēngkeng,並肩,並肩
10547,pîn-kûng-chhòng,pîn kûngchhòng,兵工廠,peng kangchhiáng,兵工廠,兵工廠
10548,pîn-mâ,pînmâ,兵馬,pengbé,兵馬,兵馬
10549,pîn-mô,pînmô,鬢毛,pìnpiⁿ mo͘,鬢邊毛,鬢毛
10550,pin-on,pin on,拼案,pèngàn,拼案,拼案
10551,pin-phài,pinphài,並排,pēngpâi,並排,並排
10552,pîn-siong,pînsiong,儐相,pinsiòng,儐相,儐相
10553,pin-tén,pin tén,並等,ka khí lâi,加起來,加起來
10554,pîn-yéng,pînyéng,兵營,pengiâⁿ,兵營,兵營
10555,piong-chai,piong chai,放債,pàng chè,放債,遺留債物
10556,piong-chéu,piong chéu,放走,pàng cháu,放走,放走
10557,piong-chhut,piong chhut,放出,pàng chhut,放出,放出
10558,piong-chón,piong chón,放轉,pàng hôe,放回,放回
10559,piông-é,piông'é,枋é,pang'á,枋á,木板
10560,piong-fó,piongfó,放火,pànghóe,放火,放火
10561,piong-hó,piong hó,放好,khǹg hó,khǹg好,放好
10562,piong-ká,piongká,放假,pángkà,放假,放假
10563,piong-khôi,piongkhôi,放開,pàng khui,放開,放開
10564,piong-ko,piong ko,放過,pàng kòe,放過,放過
10565,Piông-liàu,Piôngliàu,枋寮,Pangliâu,枋寮,枋寮（地名）
10566,piong-lo̍k,piong lo̍k,放落,pàng lo̍h,放落,放下
10567,piong-lo̍k-hi,piong lo̍khi,放落去,pàng lo̍h khì,放落去,放下去
10568,piong-mân,piong mân,放滿,khǹg tīⁿ,khǹg tīⁿ,放滿
10569,piong-nêm,piong nêm,放淰,khǹg tīⁿ,khǹg tīⁿ,放滿
10570,piong-ngi̍p,piong ngi̍p,放入,khǹg ji̍p,khǹg入,放入
10571,piong-ngiung,piongngiung,放冗,pàng lēng,放冗,"""放鬆"
10572,piông-pán,piôngpán,枋板,chhâpán,柴板,木板
10573,piong-súi,piongsúi,放水,pàngchúi,放水,引水
10574,piong-tén,piong tén,放等,khǹg leh,khǹg leh,放著
10575,piong-têu,piong têu,放兜,khǹg kóa,khǹg kóa,放一些
10576,piong-thet,piong thet,放掉,pàng tiāu,放掉,放掉
10577,piong-yàm,piong yàm,放鹽,hē iâm,hē鹽,放鹽
10578,piong-yòng,piong yòng,放羊,chhī iûⁿ,飼羊,放羊
10579,pit-chhṳ̍t,pitchhṳ̍t,筆直,pitti̍t,筆直,筆直
10580,pit-chiak,pitchiak,筆跡,pit chek,筆蹟,筆蹟
10581,pit-fi,pitfi,閉會,pìhōe,閉會,閉會
10582,pit-fi,pitfi,筆會,pithōe,筆會,筆會
10583,pit-khôi,pit khôi,必開,pit khui,pit開,裂開
10584,pit-lak,pit lak,必壢,li̍h khui,裂開,裂開
10585,pit-me̍t,pitme̍t,筆墨,pitba̍k,筆墨,筆墨
10586,pit-nèn,pitnèn,必能,pitlêng,必能,必能
10587,pit-ngiu̍k,pitngiu̍k,碧玉,phekge̍k,碧玉,碧玉
10588,pi̍t-pi̍t-thiàu,pi̍tpi̍t thiàu,嗶嗶跳,po̍kpo̍k thiàu,po̍kpo̍k跳,暴跳如雷
10589,pit-sí,pitsí,必死,pit sú,必死,必死
10590,pit-sî,pitsî,必須,pitsu,必須,必須
10591,pit-sún,pitsún,必筍,puhgê,puh芽,發芽
10592,pit-sṳt,pitsṳt,必失,pitsit,必失,必失
10593,pit-tén,pit tén,逼著,teh pek,teh逼,逼著
10594,pit-tet,pittet,必得,pittit,必得,必得
10595,pit-thin,pitthin,必定,pittēng,必定,必定
10596,pit-yèn,pityèn,必然,pitjiân,必然,必然
10597,pit-yeu,pityeu,必要,pitiàu,必要,必要
10598,pó-chhiòn,póchhiòn,保全,póchoân,保全,保全
10599,pó-chho,póchho,寶座,póchō,寶座,寶座
10600,pó-chho-thâng,póchhothâng,寶座廳,póchō thiaⁿ,寶座廳,寶座廳
10601,pó-chhòng,póchhòng,寶藏,póchōng,寶藏,寶藏
10602,pó-chhṳ̀,póchhṳ̀,保持,póchhî,保持,保持
10603,pó-chhùn,póchhùn,保存,póchûn,保存,保存
10604,pó-chhung,póchhung,保重,pótiōng,保重,保重
10605,pô-chióng,pôchióng,褒獎,pochióng,褒獎,褒獎
10606,pó-chông,póchông,保障,póchiòng,保障,保障
10607,po-chṳ́,pochṳ́,報紙,pòchóa,報紙,報紙
10608,pô-chuk,pô chuk,煲粥,chú moâi,煮糜,煮稀飯
10609,pó-chṳn,póchṳn,保證,póchèng,保證,保證
10610,pó-chṳn-kîm,póchṳn kîm,保證金,póchèng kim,保證金,保證金
10611,pô-chung,pôchung,播種,iā chèng,播種,播種
10612,po-ên,poên,報恩,pòun,報恩,報恩
10613,pó-fi-sṳ̂,pófisṳ̂,保惠師,póhūisu,保惠師,保惠師
10614,pó-fu,pófu,保護,póhō͘,保護,保護
10615,pó-fu-chá,pófu chá,保護者,póhō͘ chiá,保護者,保護者
10616,pó-fu-sàng,pófu sàng,保護城,póhō͘ siâⁿ,保護城,保護城
10617,pó-fu-yen,pófu yen,保護院,póhō͘ īⁿ,保護院,保護院
10618,po-fu̍k,pofu̍k,報復,pòho̍k,報復,報復
10619,pó-ha̍p,póha̍p,寶盒,póa̍h,寶盒,寶盒
10620,pó-hiám,póhiám,保險,póhiám,保險,保險
10621,pó-hiet,póhiet,寶血,póhoeh,寶血,寶血
10622,po-hiet-sù,pohietsù,報血仇,pò hoehsiû,報血仇,報血仇
10623,pó-hiun,póhiun,寶訓,póhùn,寶訓,寶訓
10624,pó-ka,póka,寶架,pókè,寶架,寶架
10625,pó-khu,pókhu,寶庫,pókhò͘,寶庫,寶庫
10626,pó-kiam,pókiam,寶劍,pókiàm,寶劍,寶劍
10627,po-ko,poko,報告,pòkò,報告,報告
10628,pó-kón,pókón,保管,pókoán,保管,保管
10629,pó-kui,pókui,寶貴,pókùi,寶貴,寶貴
10630,pô-lì,pôlì,玻璃,polê,玻璃,玻璃
10631,pó-liù,póliù,保留,póliû,保留,保留
10632,pô-long,pôlong,波浪,pholōng,波浪,波浪
10633,pó-miang,pó miang,保命,pó miā,保命,保命
10634,pó-ngiu̍k,póngiu̍k,寶玉,póge̍k,寶玉,寶玉
10635,po-péu,popéu,報表,pòpió,報表,報表
10636,pó-pi,pópi,寶貝,pópòe,寶貝,寶貝
10637,pó-sa̍k,pósa̍k,寶石,póchio̍h,寶石,寶石
10638,po-san,po san,報善,pò siān,報善,報善
10639,pó-siak,pósiak,保惜,pósioh,珍惜,珍惜
10640,po-sin,posin,報信,pòsìn,報信,報信
10641,po-sóng,posóng,報賞,pòsiúⁿ,報賞,報賞
10642,pô-sóng,pôsóng,褒賞,posiúⁿ,褒賞,褒賞
10643,po-sù,posù,報仇,pòsiû,報仇,報仇
10644,pó-sú,pósú,保守,pósiú,保守,保守
10645,pó-sú,pósú,保守,pósiú,保守,保守
10646,pó-sṳp,pó sṳp,保濕,pó sip,保濕,保濕
10647,po-tap,potap,報答,pòtap,報答,報答
10648,pó-tet,pótet,保得,pó tit,保得,保得
10649,po-thô,pothô,報導,pòtō,報導,報導
10650,po-thô,pothô,報導,pòtō,報導,報導
10651,po-to,poto,報到,pòtō,報到,報到
10652,pó-tó,pótó,寶島,pótó,寶島,寶島
10653,pó-vi,pó vi,寶位,pó ūi,寶位,寶位
10654,pó-ví,póví,保衛,póōe,保衛,保衛
10655,pó-vu̍t,póvu̍t,寶物,póbu̍t,寶物,寶物
10656,po-yin,poyin,報應,pòèng,報應,報應
10657,pó-yông,póyông,保養,póióng,保養,保養
10658,pô-yòng,pôyòng,播揚,pòiông,播揚,播揚
10659,pó-yu,póyu,保佑,póiū,保佑,保佑
10660,pó-yû,póyû,保有,póiú,保有,保有
10661,poi-fûng,poi fûng,背風,pōe hong,背風,背風
10662,poi-heu,poiheu,背後,pōeāu,背後,背後
10663,poi-hòn-hòn-ê,poi hònhòn ê,背寒寒è,únku,ún痀,背微駝
10664,poi-kín,poikín,背景,pōekéng,背景,背景
10665,poi-kiúng-kiúng-è,poi kiúngkiúng è,背拱拱è,únku,ún痀,駝背
10666,poi-kok,poikok,背角,kaklo̍h,角落,角落
10667,poi-kû-kû-ê,poi kûkû ê,背痀痀è,únku,ún痀,駝背
10668,poi-lì,poilì,背離,pōelī,背離,背離
10669,poi-mî,poimî,背尾,pōeāu,背後,背後
10670,poi-mien,poimien,背面,pōebīn,背面,背面
10671,poi-ngi,poingi,背義,pōegī,背義,背義
10672,poi-ngia̍k,poingia̍k,背逆,pōege̍k,背逆,背逆
10673,poi-nòng,poinòng,背囊,khachiah phiaⁿ,khachiah phiaⁿ,背部
10674,poi-nông-táng,poinông táng,背囊頂,khachiahphiaⁿ téng,khachiahphiaⁿ頂,背部
10675,poi-phan,poiphan,背叛,pōepoān,背叛,背叛
10676,poi-sin,poisin,背信,pōesìn,背信,背信
10677,poi-sṳ,poisṳ,背誓,ûipōe sègiân,違背誓言,背誓
10678,poi-táng,poitáng,背頂,khachiahphiaⁿ téng,khachiahphiaⁿ頂,背上
10679,poi-tho,poitho,背道,pōetō,背道,背道
10680,poi-yok,poiyok,背約,pōeiok,背約,背約
10681,pok-chéu,pok chéu,剝走,pak cháu,剝走,剝走
10682,pok-chhiang,pok chhiang,剝淨,pak chhengkhì,剝清氣,剝淨
10683,pok-choi,pokchoi,駁嘴,takchhùi,tak嘴,鬥嘴
10684,pok-hâ,pok hâ,剝下,pak lo̍h lâi,剝落來,剝下
10685,pok-hi,pokhi,博氣,tó͘khì,賭氣,賭氣
10686,pok-hok,pok hok,剝殼,pak khak,剝殼,剝殼
10687,pok-kâm-é,pokkâm'é,剝柑é,peh kám'á,peh柑á,剝橘子
10688,pok-khôi,pok khôi,剝開,pak khui,剝開,剝開
10689,pok-kông,pok kông,剝光,pak kng,剝光,剝光
10690,pok-ngìn-nâu,pok ngìn nâu,博人惱,jiá lâng thóià,惹人討厭,惹人厭
10691,pok-oi,pokoi,博愛,phokài,博愛,博愛
10692,pok-phì,pok phì,剝皮,pak phôe,剝皮,剝皮
10693,po̍k-po̍k-pêu,po̍kpo̍k pêu,po̍kpo̍k猋,phi̍hpho̍k chháiⁿ,phi̍hpho̍k chháiⁿ,驚懼而心跳
10694,pok-siok,poksiok,剝削,paksiap,剝削,剝削
10695,pok-sṳ,poksṳ,博士,phoksū,博士,博士
10696,pok-thet,pok thet,剝掉,pak tiāu,剝掉,剝掉
10697,pok-to,pok to,剝到,pak kah,剝kah,剝到
10698,pok-tó,pok tó,駁倒,pok tó,駁倒,駁倒
10699,pông-chhen,pôngchhen,幫襯,pangbâng,幫忙,幫忙
10700,pông-chhu,pôngchhu,幫助,pangchō͘,幫助,幫助
10701,pông-chhu,pôngchhu,幫助,pangchō͘,幫助,幫助
10702,pông-chhu-chá,pôngchhuchá,幫助者,pangchō͘ chiá,幫助者,幫助者
10703,pòng-é,pòng'é,磅é,pōng'á,磅á,磅秤
10704,póng-hó,póng hó,綁好,pa̍k hó,綁好,綁好
10705,póng-ka,póngka,綁架,pángkà,綁架,綁架
10706,pông-mòng,pôngmòng,幫忙,pangbâng,幫忙,幫忙
10707,póng-pheu,póngpheu,綁票,pángphiò,綁票,綁票
10708,póng-tén,póng tén,綁著,pa̍k leh,綁leh,綁著
10709,póng-yong,póngyong,榜樣,bô͘iūⁿ,模樣,榜樣
10710,pot-at,pot'at,發閼,khìsin ló͘miā,氣身惱命,生悶氣
10711,pot-chhông,pot chhông,發瘡,seⁿ chhng,生瘡,長瘡
10712,pot-chhông,pot chhông,發瘡,seⁿ chhng,生瘡,長瘡
10713,pot-chhùng,pot chhùng,發蟲,seⁿ thâng,生蟲,長蟲
10714,pot-chong,potchong,發脹,bôliâu,無聊,罵人無聊
10715,pot-chong-kiéu,potchongkiéu,發脹狗,tiùⁿsíkúi,脹死鬼,（詛咒語）
10716,pot-chong-kúi,potchongkúi,發脹鬼,tiùⁿsíkúi,脹死鬼,（詛咒語）
10717,pot-fûng,potfûng,發風,sàuhong,掃風,刮風
10718,pot-fûng-lo̍k-súi,potfûng lo̍ksúi,發風落水,khíhong lo̍hhō͘,起風落雨,發風落水
10719,pot-hap,pothap,發hap,khìchhoán,氣喘,氣喘
10720,pot-khòng,potkhòng,發狂,khíkông,起狂,發狂
10721,pot-lâng,potlâng,發冷,bôliâu,無聊,無聊
10722,pot-lû,potlû,發鹵,jî chhángchháng,jî chhángchháng,喻事情搞砸
10723,pot-mung,pot mung,發夢,chòbāng,做夢,做夢
10724,pot-mung,potmung,發夢,bînbāng,眠夢,做夢
10725,pot-ngàm,pot ngàm,發癌,tio̍h gâm,tio̍h癌,得癌症
10726,pot-ngòi,potngòi,發呆,khígōng,起gōng,發呆
10727,pot-nùng,pot nùng,發膿,puh lâng,puh膿,長膿
10728,pot-pán,potpán,發粄,hoatkóe,發粿,米食
10729,pot-phiang,potphiang,發病,phòapēⁿ,破病,生病
10730,pot-sà,potsà,發蛇,seⁿ chôa,生蛇,皰疹
10731,pot-sà,pot sà,發蛇,seⁿ chôa,生蛇,濾過性病毒
10732,pot-sí,potsí,發死,iûⁿhîn,羊眩,癲癇
10733,pot-sí,pot sí,發死,pù sí,富死,大發財
10734,pot-sí-è,potsí'è,發死è（南四縣）,pù sí,富死,大發財
10735,pot-sién,pot sién,發癬,seⁿ sián,生癬,長癬
10736,pot-súi-theu,pot súitheu,發水痘,hoat chúichu,發水疽,長水痘
10737,pot-thai-súi,pot thaisúi,發大水,chò chúichai,做水災,水災
10738,pot-thân-fûng,pot thânfûng,發癱風,piànsūi,半遂,癱瘓
10739,pot-tiên,pottiên,發癲,khísiáu,起siáu,發瘋
10740,pot-tok-ngok,pot tokngok,發琢愕,khí gāng,起gāng,發愣
10741,pot-tong-ngong,pot tongngong,發當戇,khí tònggōng,起tònggōng,發呆
10742,pot-vûn,pot vûn,發瘟,khí une̍k,起瘟疫,得瘟疫
10743,pú-chhûng,púchhûng,補充,pó͘chhiong,補充,補充
10744,pú-chiuk,púchiuk,補足,pó͘chiok,補足,補足
10745,pu-chṳ,puchṳ,佈置,pò͘tì,佈置,佈置
10746,pu-é,pu'é,布é,pò͘phit,布匹,布匹
10747,pú-fe̍t,púfe̍t,補獲,lia̍h tio̍h,掠tio̍h,獵得
10748,pú-kip,púkip,補給,pó͘kip,補給,補給
10749,pú-kip-phín,púkipphín,補給品,pó͘kip phín,補給品,補給品
10750,pú-kiu,púkiu,補救,pó͘kiù,補救,補救
10751,pú-ko,pú ko,補過,pó͘ kòe,補過,補過
10752,pu-liau,puliau,布料,pò͘liāu,布料,布料
10753,pú-mân,púmân,補滿,pó͘móa,補滿,補滿
10754,pu-muk,pu muk,布幕,pò͘ bō͘,布幕,布幕
10755,pû-ngiòng,pûngiòng,餔娘,khanchhiú,牽手,妻子
10756,pu-phùng,puphùng,布篷,pò͘phâng,布篷,布篷
10757,pu-pîn,pupîn,步兵,pō͘peng,步兵,步兵
10758,pú-si̍p,púsi̍p,補習,pó͘si̍p,補習,補習
10759,pú-sóng,púsóng,補償,pó͘sióng,補償,補償
10760,pú-thèu,púthèu,斧頭,pó͘thâu,斧頭,斧頭
10761,pu-thiàu,puthiàu,布條,pò͘tiâu,布條,布條
10762,pu-tho,putho,佈道,pò͘tō,佈道,佈道
10763,pu-thoi,puthoi,布袋,pò͘tē,布袋,布袋
10764,Pu-thoi,Puthoi,布袋,Pò͘tē,布袋,布袋（地名）
10765,pú-thôi,pú thôi,補胎,pó͘ thai,補胎,補胎
10766,puk-koa,pukkoa,卜卦,pokkòa,卜卦,卜卦
10767,puk-nui,puknui,腹內,paklāi,內臟,內臟
10768,puk-nui,puknui,腹內,paklāi,腹內,腹內
10769,pûn-chéu,pûnchéu,奔走,phuncháu,奔走,奔走
10770,pûn-chhièn,pûn chhièn,分錢,pun chîⁿ,pun錢hō͘人,給錢
10771,pún-chhu̍k,pún chhu̍k,本族,pún cho̍k,本族,本族
10772,pún-chiet,pún chiet,本節,pún chat,本節,本節
10773,pûn-cho,pûn cho,分灶,pun chàu,分灶,分家
10774,pún-chṳt,púnchṳt,本質,púnchit,本質,本質
10775,pûn-fó-sêu,pûn fó sêu,被火燒,hō͘ hóe sio,hō͘火燒,被火燒
10776,pún-fun,púnfun,本份,púnhūn,本份,本份
10777,pûn-fûng-chhôi,pûn fûng chhôi,被風吹,hō͘ hong chhoe,hō͘風吹,被風吹
10778,pún-he,pún he,本係,pún sī,本是,本係
10779,pún-hiông,pún hiông,本鄉,pún hiong,本鄉,本鄉
10780,pûn-hó,pûn hó,分好,pun hó,分好,分好
10781,pún-kâ,púnkâ,本家,púnke,本家,本家
10782,pûn-kâ,pûnkâ,分家,pun kehóe,分家伙,分家
10783,pun-kî,punkî,畚箕,pùnki,畚箕,畚箕
10784,pûn-kì,pûn kì,pûn佢,hō͘ i,hō͘伊,給他
10785,pún-koet,púnkoet,本國,púnkok,本國,本國
10786,pûn-kúi-hak,pûn kúi hak,被鬼嚇,hō͘ kúi heⁿh tio̍h,hō͘鬼嚇tio̍h,被鬼嚇
10787,pún-lòi,púnlòi,本來,púnlâi,本來,本來
10788,pún-nèn,púnnèn,本能,púnlêng,本能,本能
10789,pún-ngièn,púnngièn,本源,púngoân,本源,本源
10790,pún-ngie̍t,pún ngie̍t,本月,pún goe̍h,本月,本月
10791,pún-ngìn,púnngìn,本人,púnlâng,本人,本人
10792,pûn-ngìn-chêu,pûn ngìn chêu,pûn人招,hō͘ lâng chio,hō͘人招,入贅
10793,pûn-ngìn-chhiáng,pûn ngìn chhiáng,pûn人請,hō͘ lâng chhiàⁿkheh,hō͘人請客,讓人請客
10794,pûn-ngìn-hiàm,pûn ngìn hiàm,pûn人嫌,hō͘ lâng hiâm,hō͘人嫌,被人嫌
10795,pûn-ngìn-tá,pûn ngìn tá,pûn人打,hō͘ lâng phah,hō͘人phah,被人打
10796,pún-pún-yong,púnpúnyong,本本樣,goâniūⁿ,原樣,維持原樣
10797,pûn-sà-ngâu,pûn sà ngâu,pûn蛇咬,hō͘ chôa kā tio̍h,hō͘蛇咬,被蛇咬
